"STATION","DATE","TMAX","TMIN"
"USW00004808","2004-01-01","43","23"
"USW00004808","2004-01-02","59","29"
"USW00004808","2004-01-03","48","29"
"USW00004808","2004-01-04","31","25"
"USW00004808","2004-01-05","25","0"
"USW00004808","2004-01-06","9","-6"
"USW00004808","2004-01-07","22","3"
"USW00004808","2004-01-08","29","15"
"USW00004808","2004-01-09","26","15"
"USW00004808","2004-01-10","26","10"
"USW00004808","2004-01-11","38","26"
"USW00004808","2004-01-12","37","30"
"USW00004808","2004-01-13","34","21"
"USW00004808","2004-01-14","35","16"
"USW00004808","2004-01-15","25","11"
"USW00004808","2004-01-16","30","24"
"USW00004808","2004-01-17","33","28"
"USW00004808","2004-01-18","29","5"
"USW00004808","2004-01-19","17","3"
"USW00004808","2004-01-20","18","7"
"USW00004808","2004-01-21","37","8"
"USW00004808","2004-01-22","17","3"
"USW00004808","2004-01-23","26","8"
"USW00004808","2004-01-24","22","10"
"USW00004808","2004-01-25","21","15"
"USW00004808","2004-01-26","23","20"
"USW00004808","2004-01-27","23","4"
"USW00004808","2004-01-28","10","0"
"USW00004808","2004-01-29","2","-8"
"USW00004808","2004-01-30","2","-14"
"USW00004808","2004-01-31","12","-10"
"USW00004808","2004-02-01","28","11"
"USW00004808","2004-02-02","32","24"
"USW00004808","2004-02-03","32","-3"
"USW00004808","2004-02-04","22","-8"
"USW00004808","2004-02-05","28","20"
"USW00004808","2004-02-06","28","24"
"USW00004808","2004-02-07","28","-2"
"USW00004808","2004-02-08","27","-5"
"USW00004808","2004-02-09","32","18"
"USW00004808","2004-02-10","27","3"
"USW00004808","2004-02-11","33","4"
"USW00004808","2004-02-12","25","4"
"USW00004808","2004-02-13","28","7"
"USW00004808","2004-02-14","31","13"
"USW00004808","2004-02-15","24","5"
"USW00004808","2004-02-16","23","0"
"USW00004808","2004-02-17","32","10"
"USW00004808","2004-02-18","42","6"
"USW00004808","2004-02-19","41","23"
"USW00004808","2004-02-20","43","33"
"USW00004808","2004-02-21","39","27"
"USW00004808","2004-02-22","43","24"
"USW00004808","2004-02-23","44","35"
"USW00004808","2004-02-24","38","31"
"USW00004808","2004-02-25","42","25"
"USW00004808","2004-02-26","45","26"
"USW00004808","2004-02-27","47","25"
"USW00004808","2004-02-28","54","28"
"USW00004808","2004-02-29","59","33"
"USW00004808","2004-03-01","61","44"
"USW00004808","2004-03-02","46","38"
"USW00004808","2004-03-03","45","36"
"USW00004808","2004-03-04","46","40"
"USW00004808","2004-03-05","60","37"
"USW00004808","2004-03-06","44","36"
"USW00004808","2004-03-07","44","32"
"USW00004808","2004-03-08","40","30"
"USW00004808","2004-03-09","42","27"
"USW00004808","2004-03-10","49","25"
"USW00004808","2004-03-11","43","18"
"USW00004808","2004-03-12","34","14"
"USW00004808","2004-03-13","47","16"
"USW00004808","2004-03-14","44","32"
"USW00004808","2004-03-15","38","25"
"USW00004808","2004-03-16","33","28"
"USW00004808","2004-03-17","39","28"
"USW00004808","2004-03-18","43","26"
"USW00004808","2004-03-19","53","23"
"USW00004808","2004-03-20","61","31"
"USW00004808","2004-03-21","37","20"
"USW00004808","2004-03-22","40","16"
"USW00004808","2004-03-23","61","30"
"USW00004808","2004-03-24","63","43"
"USW00004808","2004-03-25","61","54"
"USW00004808","2004-03-26","68","51"
"USW00004808","2004-03-27","66","46"
"USW00004808","2004-03-28","71","46"
"USW00004808","2004-03-29","60","41"
"USW00004808","2004-03-30","54","39"
"USW00004808","2004-03-31","51","36"
"USW00004808","2004-04-01","51","31"
"USW00004808","2004-04-02","57","29"
"USW00004808","2004-04-03","58","27"
"USW00004808","2004-04-04","51","28"
"USW00004808","2004-04-05","55","25"
"USW00004808","2004-04-06","72","37"
"USW00004808","2004-04-07","67","42"
"USW00004808","2004-04-08","56","32"
"USW00004808","2004-04-09","58","29"
"USW00004808","2004-04-10","57","30"
"USW00004808","2004-04-11","47","24"
"USW00004808","2004-04-12","45","26"
"USW00004808","2004-04-13","53","25"
"USW00004808","2004-04-14","68","25"
"USW00004808","2004-04-15","73","37"
"USW00004808","2004-04-16","83","54"
"USW00004808","2004-04-17","81","56"
"USW00004808","2004-04-18","84","54"
"USW00004808","2004-04-19","73","45"
"USW00004808","2004-04-20","64","41"
"USW00004808","2004-04-21","62","41"
"USW00004808","2004-04-22","55","37"
"USW00004808","2004-04-23","65","39"
"USW00004808","2004-04-24","56","37"
"USW00004808","2004-04-25","61","40"
"USW00004808","2004-04-26","59","37"
"USW00004808","2004-04-27","52","30"
"USW00004808","2004-04-28","81","45"
"USW00004808","2004-04-29","77","58"
